system,system_label,catalog,condition,question_set,n,mean_score_lenient,mean_score_strict,refusal_rate,share_score_3,share_score_0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,deterministic (44),44,0.66,0.52,0.159,0.0,0.432
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,interpretive (56),56,1.23,1.16,0.357,0.036,0.107
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,interpretive excluding D (36),36,1.33,1.22,0.111,0.028,0.139
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,all (100),100,0.98,0.88,0.27,0.02,0.25
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,"deterministic, category A",8,0.62,0.62,0.0,0.0,0.625
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,"deterministic, category B",20,0.5,0.25,0.25,0.0,0.5
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,"deterministic, category C",9,0.67,0.67,0.111,0.0,0.444
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,+narrative,"deterministic, category E",7,1.14,1.0,0.143,0.0,0.0
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,deterministic (44),44,0.59,0.43,0.159,0.0,0.5
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,interpretive (56),56,1.8,1.79,0.304,0.286,0.107
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,interpretive excluding D (36),36,1.47,1.44,0.028,0.056,0.167
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,all (100),100,1.27,1.19,0.24,0.16,0.28
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,"deterministic, category A",8,0.75,0.75,0.0,0.0,0.5
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,"deterministic, category B",20,0.55,0.35,0.2,0.0,0.5
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,"deterministic, category C",9,0.56,0.44,0.111,0.0,0.556
graphrag_post,"GraphRAG, intermediate prompt revision (Texts S2-S4; not reported in the main text)",Ridgecrest,catalog-only,"deterministic, category E",7,0.57,0.29,0.286,0.0,0.429
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,deterministic (44),44,0.73,0.34,0.432,0.0,0.364
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,interpretive (56),56,1.2,1.11,0.286,0.071,0.161
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,interpretive excluding D (36),36,0.92,0.78,0.139,0.0,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,all (100),100,0.99,0.77,0.35,0.04,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,"deterministic, category A",8,1.0,0.75,0.375,0.0,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,"deterministic, category B",20,0.55,0.15,0.4,0.0,0.5
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,"deterministic, category C",9,1.0,0.56,0.556,0.0,0.111
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,+narrative,"deterministic, category E",7,0.57,0.14,0.429,0.0,0.429
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,deterministic (44),44,0.89,0.05,0.841,0.0,0.136
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,interpretive (56),56,1.57,1.04,0.893,0.304,0.054
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,interpretive excluding D (36),36,0.94,0.11,0.833,0.0,0.083
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,all (100),100,1.27,0.6,0.87,0.17,0.09
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,"deterministic, category A",8,1.0,0.0,1.0,0.0,0.0
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,"deterministic, category B",20,0.75,0.0,0.75,0.0,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,"deterministic, category C",9,0.89,0.0,0.889,0.0,0.111
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Maduo,catalog-only,"deterministic, category E",7,1.14,0.29,0.857,0.0,0.0
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,deterministic (44),44,0.7,0.43,0.318,0.0,0.386
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,interpretive (56),56,1.59,1.48,0.268,0.071,0.071
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,interpretive excluding D (36),36,1.53,1.36,0.167,0.028,0.083
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,all (100),100,1.2,1.02,0.29,0.04,0.21
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,"deterministic, category A",8,1.0,0.75,0.25,0.0,0.375
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,"deterministic, category B",20,0.55,0.25,0.35,0.0,0.45
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,"deterministic, category C",9,0.78,0.56,0.333,0.0,0.333
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,+narrative,"deterministic, category E",7,0.71,0.43,0.286,0.0,0.286
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,deterministic (44),44,0.73,0.39,0.341,0.0,0.386
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,interpretive (56),56,1.91,1.71,0.5,0.321,0.036
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,interpretive excluding D (36),36,1.39,1.08,0.306,0.0,0.056
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,all (100),100,1.39,1.13,0.43,0.18,0.19
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,"deterministic, category A",8,1.0,0.88,0.125,0.0,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,"deterministic, category B",20,0.55,0.25,0.3,0.0,0.55
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,"deterministic, category C",9,0.89,0.22,0.667,0.0,0.222
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Qiaojia,catalog-only,"deterministic, category E",7,0.71,0.43,0.286,0.0,0.286
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,deterministic (44),44,1.32,1.05,0.273,0.0,0.068
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,interpretive (56),56,1.54,1.48,0.304,0.018,0.036
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,interpretive excluding D (36),36,1.61,1.53,0.083,0.0,0.056
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,all (100),100,1.44,1.29,0.29,0.01,0.05
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,"deterministic, category A",8,1.62,1.5,0.125,0.0,0.0
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,"deterministic, category B",20,1.15,0.75,0.4,0.0,0.1
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,"deterministic, category C",9,1.33,1.11,0.222,0.0,0.0
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,+narrative,"deterministic, category E",7,1.43,1.29,0.143,0.0,0.143
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,deterministic (44),44,0.95,0.77,0.205,0.023,0.386
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,interpretive (56),56,1.95,1.89,0.357,0.286,0.054
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,interpretive excluding D (36),36,1.58,1.5,0.083,0.0,0.083
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,all (100),100,1.51,1.4,0.29,0.17,0.2
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,"deterministic, category A",8,1.25,1.25,0.0,0.0,0.25
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,"deterministic, category B",20,0.85,0.65,0.25,0.05,0.45
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,"deterministic, category C",9,0.56,0.22,0.333,0.0,0.556
graphrag_post2,"GraphRAG, seismology prompts (Texts S2-S5)",Ridgecrest,catalog-only,"deterministic, category E",7,1.43,1.29,0.143,0.0,0.143
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,deterministic (44),44,0.48,0.27,0.205,0.0,0.591
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,interpretive (56),56,0.93,0.86,0.107,0.0,0.429
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,interpretive excluding D (36),36,0.69,0.58,0.139,0.0,0.5
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,all (100),100,0.73,0.6,0.15,0.0,0.5
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,"deterministic, category A",8,0.62,0.5,0.125,0.0,0.625
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,"deterministic, category B",20,0.3,0.2,0.1,0.0,0.75
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,"deterministic, category C",9,0.67,0.11,0.556,0.0,0.333
graphrag_pre,"GraphRAG, default prompts",Maduo,+narrative,"deterministic, category E",7,0.57,0.43,0.143,0.0,0.429
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,deterministic (44),44,0.55,0.32,0.227,0.0,0.545
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,interpretive (56),56,0.96,0.89,0.179,0.089,0.393
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,interpretive excluding D (36),36,0.81,0.69,0.111,0.0,0.472
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,all (100),100,0.78,0.64,0.2,0.05,0.46
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,"deterministic, category A",8,0.75,0.62,0.125,0.0,0.375
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,"deterministic, category B",20,0.45,0.05,0.4,0.0,0.55
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,"deterministic, category C",9,0.44,0.44,0.0,0.0,0.667
graphrag_pre,"GraphRAG, default prompts",Maduo,catalog-only,"deterministic, category E",7,0.71,0.57,0.143,0.0,0.571
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,deterministic (44),44,0.91,0.75,0.159,0.023,0.318
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,interpretive (56),56,1.73,1.73,0.054,0.0,0.036
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,interpretive excluding D (36),36,1.78,1.78,0.0,0.0,0.056
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,all (100),100,1.37,1.3,0.1,0.01,0.16
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,"deterministic, category A",8,1.25,1.25,0.0,0.0,0.25
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,"deterministic, category B",20,0.75,0.45,0.3,0.05,0.35
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,"deterministic, category C",9,0.67,0.67,0.0,0.0,0.444
graphrag_pre,"GraphRAG, default prompts",Qiaojia,+narrative,"deterministic, category E",7,1.29,1.14,0.143,0.0,0.143
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,deterministic (44),44,0.91,0.82,0.091,0.0,0.341
graphrag_pre,"GraphRAG, default prompts",Qiaojia,catalog-only,interpretive (56),56,1.7,1.7,0.071,0.089,0.018
